metric,value,ci_low,ci_high,bootstrap,cluster_column,iterations
accuracy,0.9535936615732881,0.948122995661196,0.9592529711375212,record_event,,1000
sensitivity,0.8241279069767442,0.7935261340713589,0.8526019166413142,record_event,,1000
specificity,0.9729026663776285,0.9684753756327259,0.9776854305191307,record_event,,1000
precision,0.819364161849711,0.7917703047660555,0.8487976285707721,record_event,,1000
f1,0.8217391304347826,0.7987788597128005,0.843825481892817,record_event,,1000
auroc,0.9271882042155889,0.9113513223395492,0.940975945158072,record_event,,1000
auprc,0.8365138373695282,0.8080170864087113,0.8619076049045825,record_event,,1000
accuracy,0.9535936615732881,0.9157986949704777,0.9859172939192594,clustered,subject_id,1000
sensitivity,0.8241279069767442,0.6651881828967556,0.9529796321389525,clustered,subject_id,1000
specificity,0.9729026663776285,0.943325865197648,0.9916638096942485,clustered,subject_id,1000
precision,0.819364161849711,0.6683333333333333,0.9390772659517503,clustered,subject_id,1000
f1,0.8217391304347826,0.6884630238334404,0.9309618174940578,clustered,subject_id,1000
auroc,0.9271882042155889,0.8471042909842041,0.9958739693972318,clustered,subject_id,1000
auprc,0.8365138373695282,0.6726323041136284,0.9702017169039551,clustered,subject_id,1000
