selected_model,selected_calibration,selected_aggregation,confidence,coverage,n_kept,accuracy,sensitivity,specificity,precision,f1,auroc,auprc,tp,fp,tn,fn
waveform,isotonic,trimmed_mean,margin,0.5,2650,0.9852830188679246,0.0,1.0,0.0,0.0,0.5817399758418526,0.020963918691375,0,0,2611,39
waveform,isotonic,trimmed_mean,margin,0.55,2916,0.9838820301783264,0.0,1.0,0.0,0.0,0.6071690781130648,0.037258454141770994,0,0,2869,47
waveform,isotonic,trimmed_mean,margin,0.6000000000000001,3181,0.9833385727758567,0.0,1.0,0.0,0.0,0.6016955797905709,0.02441981709192342,0,0,3128,53
waveform,isotonic,trimmed_mean,margin,0.6500000000000001,3446,0.9770748694138132,0.7553648068669528,0.9931528166822284,0.8888888888888888,0.8167053364269141,0.9031703286941863,0.7365401034510638,176,22,3191,57
waveform,isotonic,trimmed_mean,margin,0.7000000000000002,3711,0.9762867151711129,0.8387978142076503,0.9913303437967115,0.9136904761904762,0.8746438746438746,0.9324270789940128,0.8147937785042086,307,29,3316,59
waveform,isotonic,trimmed_mean,margin,0.7500000000000002,3976,0.9753521126760564,0.8523002421307506,0.9896154925624474,0.9048843187660668,0.8778054862842892,0.933781011322314,0.8193688044722709,352,37,3526,61
waveform,isotonic,trimmed_mean,margin,0.8000000000000003,4241,0.9728837538316435,0.8586497890295358,0.9872577647995753,0.8945054945054945,0.876210979547901,0.9366730176225023,0.8257352715477029,407,48,3719,67
waveform,isotonic,trimmed_mean,margin,0.8500000000000003,4506,0.9700399467376831,0.8638059701492538,0.9843828715365239,0.8819047619047619,0.8727615457115928,0.9386111789916914,0.82895403783943,463,62,3908,73
waveform,isotonic,trimmed_mean,margin,0.9000000000000004,4771,0.9664640536575142,0.856175972927242,0.9820574162679426,0.8709122203098106,0.863481228668942,0.9389450206041176,0.8277487636578063,506,75,4105,85
waveform,isotonic,trimmed_mean,margin,0.9500000000000004,5036,0.9630659253375695,0.8551617873651772,0.9790289491679963,0.8578052550231839,0.8564814814814815,0.9388442108864157,0.8250675346142639,555,92,4295,94
